Actual_Default,Predicted_Prob,Loan_Amount,Profit_No_Model,Approved_By_Model,Profit_With_Model
0,0.039235351,594121.5,59412.15,TRUE,59412.15
0,0.072991023,526500,52650,TRUE,52650
0,0.041793345,640080,64008,TRUE,64008
0,0.260084151,314100,31410,FALSE,0
0,0.057933371,544491,54449.1,TRUE,54449.1
1,0.275192774,247500,-247500,FALSE,0
0,0.024521676,1350000,135000,TRUE,135000
0,0.04200135,1024740,102474,TRUE,102474
0,0.056592744,900000,90000,TRUE,90000
0,0.104801742,1042560,104256,TRUE,104256
0,0.039015083,337500,33750,TRUE,33750
1,0.187287648,640080,-640080,FALSE,0
0,0.091153132,545040,54504,TRUE,54504
0,0.025900294,900000,90000,TRUE,90000
0,0.065945698,454500,45450,TRUE,45450
0,0.090389556,327024,32702.4,TRUE,32702.4
0,0.031729462,117162,11716.2,TRUE,11716.2
0,0.018035288,247500,24750,TRUE,24750
0,0.061728979,1078200,107820,TRUE,107820
0,0.012565447,720000,72000,TRUE,72000
0,0.025487151,260640,26064,TRUE,26064
0,0.038894945,270000,27000,TRUE,27000
0,0.093767562,331834.5,33183.45,TRUE,33183.45
0,0.03408015,332946,33294.6,TRUE,33294.6
0,0.035203069,202500,20250,TRUE,20250
0,0.330133236,436032,43603.2,FALSE,0
0,0.269205436,450000,45000,FALSE,0
0,0.481124544,563269.5,56326.95,FALSE,0
0,0.031854873,1575000,157500,TRUE,157500
0,0.098259343,117162,11716.2,TRUE,11716.2
0,0.091413078,967500,96750,TRUE,96750
0,0.025489878,1024290,102429,TRUE,102429
0,0.173103218,202500,20250,TRUE,20250
0,0.032204404,781920,78192,TRUE,78192
0,0.059001823,1147500,114750,TRUE,114750
0,0.039388005,315000,31500,TRUE,31500
0,0.027725318,98910,9891,TRUE,9891
0,0.025007556,1185282,118528.2,TRUE,118528.2
0,0.179553289,521280,52128,FALSE,0
0,0.0302639,599472,59947.2,TRUE,59947.2
0,0.039652318,1024740,102474,TRUE,102474
0,0.319630596,163332,16333.2,FALSE,0
0,0.071294166,824823,82482.3,TRUE,82482.3
1,0.293461805,894906,-894906,FALSE,0
0,0.065474162,376078.5,37607.85,TRUE,37607.85
0,0.096239651,303489,30348.9,TRUE,30348.9
0,0.053238177,473760,47376,TRUE,47376
0,0.092875766,296280,29628,TRUE,29628
0,0.049338446,272520,27252,TRUE,27252
0,0.086962925,225000,22500,TRUE,22500
0,0.124784404,202500,20250,TRUE,20250
0,0.019003419,544491,54449.1,TRUE,54449.1
0,0.024649495,239850,23985,TRUE,23985
0,0.028666521,225000,22500,TRUE,22500
0,0.073771101,74182.5,7418.25,TRUE,7418.25
1,0.036220276,1006920,-1006920,TRUE,-1006920
1,0.148025276,165024,-165024,TRUE,-165024
0,0.116982955,314100,31410,TRUE,31410
0,0.038364688,568057.5,56805.75,TRUE,56805.75
1,0.315962503,450000,-450000,FALSE,0
1,0.030188836,781920,-781920,TRUE,-781920
0,0.084145468,180000,18000,TRUE,18000
0,0.031459213,254700,25470,TRUE,25470
0,0.040766314,360000,36000,TRUE,36000
0,0.083476217,585000,58500,TRUE,58500
0,0.107384251,436032,43603.2,TRUE,43603.2
0,0.03669402,830214,83021.4,TRUE,83021.4
0,0.181284412,206280,20628,FALSE,0
1,0.1156394,891072,-891072,TRUE,-891072
0,0.056434187,942300,94230,TRUE,94230
0,0.02045539,1354500,135450,TRUE,135450
1,0.071962362,1575000,-1575000,TRUE,-1575000
0,0.07106197,1206000,120600,TRUE,120600
0,0.126426019,247500,24750,TRUE,24750
0,0.049024816,364428,36442.8,TRUE,36442.8
0,0.186100149,256500,25650,FALSE,0
0,0.098928303,906615,90661.5,TRUE,90661.5
0,0.024523571,1687266,168726.6,TRUE,168726.6
0,0.066535413,698517,69851.7,TRUE,69851.7
0,0.085806207,808650,80865,TRUE,80865
0,0.13890206,573628.5,57362.85,TRUE,57362.85
0,0.041787089,1305000,130500,TRUE,130500
1,0.045801147,1174977,-1174977,TRUE,-1174977
0,0.18706604,592560,59256,FALSE,0
0,0.06320265,790830,79083,TRUE,79083
0,0.035425019,288000,28800,TRUE,28800
0,0.059816952,590337,59033.7,TRUE,59033.7
1,0.03802067,562491,-562491,TRUE,-562491
0,0.185634245,343377,34337.7,FALSE,0
0,0.339696472,364500,36450,FALSE,0
0,0.065167892,270000,27000,TRUE,27000
0,0.034223146,497520,49752,TRUE,49752
0,0.037233233,900000,90000,TRUE,90000
0,0.028453318,315000,31500,TRUE,31500
0,0.241416805,225000,22500,FALSE,0
0,0.046750123,381528,38152.8,TRUE,38152.8
0,0.033678543,1255680,125568,TRUE,125568
0,0.062980829,781920,78192,TRUE,78192
0,0.032124021,1078200,107820,TRUE,107820
0,0.33167398,263686.5,26368.65,FALSE,0
0,0.04291515,142200,14220,TRUE,14220
0,0.10813965,346968,34696.8,TRUE,34696.8
0,0.054174792,288873,28887.3,TRUE,28887.3
0,0.018686937,52767,5276.7,TRUE,5276.7
0,0.047965175,440784,44078.4,TRUE,44078.4
0,0.050594025,544491,54449.1,TRUE,54449.1
0,0.027987183,756000,75600,TRUE,75600
0,0.03249627,1312110,131211,TRUE,131211
0,0.034905926,1193580,119358,TRUE,119358
0,0.04359263,553806,55380.6,TRUE,55380.6
0,0.029590272,388512,38851.2,TRUE,38851.2
0,0.022595322,405000,40500,TRUE,40500
0,0.024690485,582768,58276.8,TRUE,58276.8
0,0.186396822,315000,31500,FALSE,0
0,0.026162769,1506816,150681.6,TRUE,150681.6
0,0.029917037,584766,58476.6,TRUE,58476.6
0,0.027865599,888840,88884,TRUE,88884
1,0.051019396,247500,-247500,TRUE,-247500
0,0.197042019,284400,28440,FALSE,0
0,0.127484549,247275,24727.5,TRUE,24727.5
0,0.087760964,1006920,100692,TRUE,100692
0,0.029842079,808650,80865,TRUE,80865
0,0.107325772,1339884,133988.4,TRUE,133988.4
0,0.074573424,625500,62550,TRUE,62550
0,0.173052992,225000,22500,TRUE,22500
1,0.163690515,703728,-703728,TRUE,-703728
0,0.01912562,900000,90000,TRUE,90000
0,0.064741557,265851,26585.1,TRUE,26585.1
0,0.238446638,922666.5,92266.65,FALSE,0
0,0.019074325,125136,12513.6,TRUE,12513.6
0,0.062790635,337500,33750,TRUE,33750
0,0.315638176,545040,54504,FALSE,0
0,0.044177499,545040,54504,TRUE,54504
0,0.058241431,219042,21904.2,TRUE,21904.2
0,0.099928347,203760,20376,TRUE,20376
0,0.037902827,517500,51750,TRUE,51750
0,0.101269208,437877,43787.7,TRUE,43787.7
0,0.027846268,67500,6750,TRUE,6750
0,0.020862116,270000,27000,TRUE,27000
0,0.027443762,1113840,111384,TRUE,111384
1,0.262326289,679671,-679671,FALSE,0
1,0.06776482,450000,-450000,TRUE,-450000
0,0.093897521,284400,28440,TRUE,28440
0,0.028181329,331834.5,33183.45,TRUE,33183.45
0,0.018810195,123637.5,12363.75,TRUE,12363.75
0,0.04463472,1724220,172422,TRUE,172422
0,0.030812253,327024,32702.4,TRUE,32702.4
1,0.233425131,755190,-755190,FALSE,0
0,0.240589348,474048,47404.8,FALSE,0
0,0.057895042,695439,69543.9,TRUE,69543.9
0,0.082994013,545040,54504,TRUE,54504
0,0.030591507,271066.5,27106.65,TRUE,27106.65
0,0.074280292,325908,32590.8,TRUE,32590.8
0,0.029286801,1255680,125568,TRUE,125568
0,0.033352493,765261,76526.1,TRUE,76526.1
0,0.046527943,278613,27861.3,TRUE,27861.3
0,0.020064708,675000,67500,TRUE,67500
0,0.162227628,225000,22500,TRUE,22500
1,0.154057691,246357,-246357,TRUE,-246357
0,0.041530933,135000,13500,TRUE,13500
0,0.158805685,414792,41479.2,TRUE,41479.2
0,0.183673156,348264,34826.4,FALSE,0
0,0.023947258,314100,31410,TRUE,31410
0,0.06433866,239850,23985,TRUE,23985
0,0.02752052,99000,9900,TRUE,9900
0,0.053097293,180000,18000,TRUE,18000
0,0.126589091,849415.5,84941.55,TRUE,84941.55
0,0.037435499,654498,65449.8,TRUE,65449.8
0,0.161776536,800500.5,80050.05,TRUE,80050.05
0,0.131465686,675000,67500,TRUE,67500
0,0.035578187,1293502.5,129350.25,TRUE,129350.25
0,0.092141151,229500,22950,TRUE,22950
0,0.066413756,454500,45450,TRUE,45450
0,0.092861934,1293502.5,129350.25,TRUE,129350.25
0,0.021933138,1113840,111384,TRUE,111384
0,0.024428337,1971072,197107.2,TRUE,197107.2
0,0.271069306,568800,56880,FALSE,0
1,0.118989342,245268,-245268,TRUE,-245268
0,0.115293992,715095,71509.5,TRUE,71509.5
0,0.09400371,310671,31067.1,TRUE,31067.1
1,0.095096774,543037.5,-543037.5,TRUE,-543037.5
0,0.032954703,1256400,125640,TRUE,125640
0,0.274435198,728460,72846,FALSE,0
0,0.213606186,495000,49500,FALSE,0
0,0.088249414,450000,45000,TRUE,45000
0,0.039914574,1546020,154602,TRUE,154602
0,0.067167912,225000,22500,TRUE,22500
0,0.034901088,137538,13753.8,TRUE,13753.8
1,0.054951011,270000,-270000,TRUE,-270000
1,0.041477455,938304,-938304,TRUE,-938304
0,0.116386965,1249740,124974,TRUE,124974
0,0.078832407,178290,17829,TRUE,17829
0,0.095146035,576000,57600,TRUE,57600
0,0.022862691,1078200,107820,TRUE,107820
0,0.029051675,1076247,107624.7,TRUE,107624.7
0,0.023532381,729792,72979.2,TRUE,72979.2
0,0.0245692,457834.5,45783.45,TRUE,45783.45
0,0.171428726,199080,19908,TRUE,19908
0,0.063948943,284400,28440,TRUE,28440
0,0.022806687,360000,36000,TRUE,36000
0,0.390202785,379008,37900.8,FALSE,0
0,0.018183328,95940,9594,TRUE,9594
0,0.063929825,1071909,107190.9,TRUE,107190.9
0,0.038431234,904500,90450,TRUE,90450
0,0.065899136,485640,48564,TRUE,48564
0,0.054718079,576072,57607.2,TRUE,57607.2
0,0.224677535,398016,39801.6,FALSE,0
0,0.064503703,178290,17829,TRUE,17829
0,0.06230193,1108089,110808.9,TRUE,110808.9
1,0.133189063,225000,-225000,TRUE,-225000
0,0.075878783,261648,26164.8,TRUE,26164.8
0,0.133153422,463284,46328.4,TRUE,46328.4
0,0.04074978,180000,18000,TRUE,18000
0,0.018920929,202500,20250,TRUE,20250
0,0.048819442,1256400,125640,TRUE,125640
0,0.050223068,450000,45000,TRUE,45000
0,0.144410761,473760,47376,TRUE,47376
0,0.068927601,276277.5,27627.75,TRUE,27627.75
1,0.036056438,440784,-440784,TRUE,-440784
0,0.052428505,284400,28440,TRUE,28440
0,0.093380087,338314.5,33831.45,TRUE,33831.45
0,0.035488036,202500,20250,TRUE,20250
0,0.155369462,900000,90000,TRUE,90000
1,0.373722496,544491,-544491,FALSE,0
0,0.030784812,152820,15282,TRUE,15282
0,0.025182651,495000,49500,TRUE,49500
0,0.09956196,553806,55380.6,TRUE,55380.6
1,0.145302986,528633,-528633,TRUE,-528633
0,0.040862983,247500,24750,TRUE,24750
0,0.019693245,360000,36000,TRUE,36000
0,0.054610051,473161.5,47316.15,TRUE,47316.15
0,0.054835119,96696,9669.6,TRUE,9669.6
0,0.053670449,129519,12951.9,TRUE,12951.9
0,0.050351049,270000,27000,TRUE,27000
0,0.038727564,585000,58500,TRUE,58500
0,0.215550156,307152,30715.2,FALSE,0
0,0.031516699,859212,85921.2,TRUE,85921.2
0,0.168953542,550980,55098,TRUE,55098
0,0.078887414,405000,40500,TRUE,40500
0,0.018176223,263686.5,26368.65,TRUE,26368.65
0,0.022577188,180000,18000,TRUE,18000
0,0.039703752,1575000,157500,TRUE,157500
0,0.112927043,180000,18000,TRUE,18000
0,0.08158335,509922,50992.2,TRUE,50992.2
0,0.073375739,552555,55255.5,TRUE,55255.5
0,0.075669663,1078200,107820,TRUE,107820
0,0.132468374,309420,30942,TRUE,30942
0,0.117424547,900000,90000,TRUE,90000
1,0.328424474,544068,-544068,FALSE,0
0,0.073886422,450000,45000,TRUE,45000
0,0.030219329,225000,22500,TRUE,22500
0,0.056992081,1078200,107820,TRUE,107820
0,0.141081364,269550,26955,TRUE,26955
0,0.1409245,325908,32590.8,TRUE,32590.8
0,0.104633452,272520,27252,TRUE,27252
0,0.0820571,450000,45000,TRUE,45000
0,0.056160406,1305909,130590.9,TRUE,130590.9
0,0.107439127,1350000,135000,TRUE,135000
0,0.026884953,500211,50021.1,TRUE,50021.1
0,0.283539233,440784,44078.4,FALSE,0
0,0.064313415,339241.5,33924.15,TRUE,33924.15
1,0.113015227,497520,-497520,TRUE,-497520
0,0.055187206,367389,36738.9,TRUE,36738.9
0,0.032189159,679500,67950,TRUE,67950
0,0.03148823,677664,67766.4,TRUE,67766.4
0,0.034017163,675000,67500,TRUE,67500
0,0.047904611,539100,53910,TRUE,53910
0,0.069948632,288000,28800,TRUE,28800
0,0.031481227,468000,46800,TRUE,46800
0,0.076113839,1125000,112500,TRUE,112500
1,0.286141917,324000,-324000,FALSE,0
0,0.029426606,1741972.5,174197.25,TRUE,174197.25
0,0.160379321,247275,24727.5,TRUE,24727.5
0,0.043996181,991818,99181.8,TRUE,99181.8
0,0.192342102,640080,64008,FALSE,0
0,0.022953469,558841.5,55884.15,TRUE,55884.15
0,0.050166649,225000,22500,TRUE,22500
0,0.034906478,76410,7641,TRUE,7641
1,0.093386298,138204,-138204,TRUE,-138204
0,0.101432249,263686.5,26368.65,TRUE,26368.65
0,0.055560991,360000,36000,TRUE,36000
0,0.114105341,808650,80865,TRUE,80865
0,0.224324553,592560,59256,FALSE,0
1,0.062334335,297130.5,-297130.5,TRUE,-297130.5
0,0.542143568,343800,34380,FALSE,0
0,0.043490561,808650,80865,TRUE,80865
0,0.048484536,276277.5,27627.75,TRUE,27627.75
0,0.094307916,746280,74628,TRUE,74628
1,0.096446198,508495.5,-508495.5,TRUE,-508495.5
0,0.252006376,301464,30146.4,FALSE,0
0,0.070327274,675000,67500,TRUE,67500
0,0.037831253,299772,29977.2,TRUE,29977.2
0,0.023075662,284400,28440,TRUE,28440
1,0.053032202,1130760,-1130760,TRUE,-1130760
0,0.049493929,834048,83404.8,TRUE,83404.8
0,0.110952452,112500,11250,TRUE,11250
1,0.055569478,521280,-521280,TRUE,-521280
0,0.030279014,688500,68850,TRUE,68850
0,0.029357166,714154.5,71415.45,TRUE,71415.45
0,0.095176014,225000,22500,TRUE,22500
0,0.062608232,247500,24750,TRUE,24750
1,0.150833892,675000,-675000,TRUE,-675000
0,0.095398072,337500,33750,TRUE,33750
0,0.016540013,314100,31410,TRUE,31410
0,0.026531559,1219500,121950,TRUE,121950
0,0.094889381,337500,33750,TRUE,33750
0,0.041591506,382500,38250,TRUE,38250
0,0.022595741,504000,50400,TRUE,50400
0,0.125174536,225000,22500,TRUE,22500
0,0.06714578,1271929.5,127192.95,TRUE,127192.95
0,0.071872427,270000,27000,TRUE,27000
0,0.037858569,201024,20102.4,TRUE,20102.4
0,0.140163889,331834.5,33183.45,TRUE,33183.45
0,0.039262956,544491,54449.1,TRUE,54449.1
0,0.057078571,755190,75519,TRUE,75519
1,0.109531465,835380,-835380,TRUE,-835380
0,0.216782242,564124.5,56412.45,FALSE,0
0,0.045563267,474048,47404.8,TRUE,47404.8
1,0.266195698,253737,-253737,FALSE,0
0,0.032622718,134316,13431.6,TRUE,13431.6
0,0.06623652,609187.5,60918.75,TRUE,60918.75
0,0.032511629,382500,38250,TRUE,38250
0,0.041706412,270000,27000,TRUE,27000
0,0.036983064,263686.5,26368.65,TRUE,26368.65
0,0.037595253,47970,4797,TRUE,4797
0,0.041464789,562500,56250,TRUE,56250
0,0.208508678,247275,24727.5,FALSE,0
0,0.027951903,512064,51206.4,TRUE,51206.4
0,0.01742873,1125000,112500,TRUE,112500
0,0.03160317,270000,27000,TRUE,27000
0,0.042376832,180000,18000,TRUE,18000
0,0.032388196,481495.5,48149.55,TRUE,48149.55
0,0.044535719,675000,67500,TRUE,67500
0,0.02952496,157500,15750,TRUE,15750
0,0.05636963,781920,78192,TRUE,78192
0,0.0402185,540000,54000,TRUE,54000
0,0.032103917,573408,57340.8,TRUE,57340.8
0,0.040795533,808650,80865,TRUE,80865
0,0.033907079,755190,75519,TRUE,75519
0,0.026387738,500211,50021.1,TRUE,50021.1
0,0.096464552,254700,25470,TRUE,25470
0,0.037017419,276277.5,27627.75,TRUE,27627.75
0,0.078318374,561384,56138.4,TRUE,56138.4
0,0.025465866,509400,50940,TRUE,50940
0,0.020106538,1288350,128835,TRUE,128835
0,0.161027849,900000,90000,TRUE,90000
0,0.062940849,270000,27000,TRUE,27000
0,0.097996918,177903,17790.3,TRUE,17790.3
0,0.219678646,521280,52128,FALSE,0
0,0.092449827,1051245,105124.5,TRUE,105124.5
0,0.021815389,972441,97244.1,TRUE,97244.1
0,0.033643197,450000,45000,TRUE,45000
0,0.06820975,539100,53910,TRUE,53910
0,0.051939989,1312110,131211,TRUE,131211
1,0.139400891,285264,-285264,TRUE,-285264
0,0.069390874,1078200,107820,TRUE,107820
0,0.055057077,1493086.5,149308.65,TRUE,149308.65
0,0.128609845,361462.5,36146.25,TRUE,36146.25
1,0.358657493,545040,-545040,FALSE,0
0,0.07393384,513531,51353.1,TRUE,51353.1
0,0.042172642,72400.5,7240.05,TRUE,7240.05
0,0.037430011,135000,13500,TRUE,13500
1,0.084558007,167076,-167076,TRUE,-167076
0,0.067300108,808650,80865,TRUE,80865
0,0.015786245,942300,94230,TRUE,94230
0,0.037710781,119448,11944.8,TRUE,11944.8
0,0.080318791,123993,12399.3,TRUE,12399.3
0,0.169893854,781920,78192,TRUE,78192
0,0.208222773,284400,28440,FALSE,0
0,0.022577028,254700,25470,TRUE,25470
0,0.04531319,103500,10350,TRUE,10350
0,0.0584595,63000,6300,TRUE,6300
0,0.065052326,1535553,153555.3,TRUE,153555.3
0,0.067471417,870984,87098.4,TRUE,87098.4
0,0.120525834,450000,45000,TRUE,45000
0,0.059957731,345510,34551,TRUE,34551
0,0.041246199,607041,60704.1,TRUE,60704.1
0,0.1522523,315000,31500,TRUE,31500
0,0.118553173,1201207.5,120120.75,TRUE,120120.75
0,0.0638903,781920,78192,TRUE,78192
1,0.077404775,225000,-225000,TRUE,-225000
0,0.074344145,1506816,150681.6,TRUE,150681.6
0,0.03198365,675000,67500,TRUE,67500
0,0.025880598,225000,22500,TRUE,22500
0,0.061742561,634482,63448.2,TRUE,63448.2
0,0.018163628,239850,23985,TRUE,23985
0,0.042477989,509922,50992.2,TRUE,50992.2
0,0.020831669,225000,22500,TRUE,22500
0,0.071657065,284400,28440,TRUE,28440
0,0.053953862,679500,67950,TRUE,67950
0,0.042504119,1200744,120074.4,TRUE,120074.4
0,0.039872598,1389852,138985.2,TRUE,138985.2
0,0.024498778,904500,90450,TRUE,90450
0,0.023445304,781920,78192,TRUE,78192
0,0.059648873,495000,49500,TRUE,49500
0,0.071342142,323388,32338.8,TRUE,32338.8
0,0.252316413,417024,41702.4,FALSE,0
0,0.061757711,1288350,128835,TRUE,128835
1,0.087721762,152820,-152820,TRUE,-152820
0,0.294355396,790830,79083,FALSE,0
0,0.209963589,781920,78192,FALSE,0
0,0.110065716,1223010,122301,TRUE,122301
0,0.136818556,900000,90000,TRUE,90000
1,0.063466447,1293502.5,-1293502.5,TRUE,-1293502.5
0,0.029309686,382500,38250,TRUE,38250
0,0.020051866,738000,73800,TRUE,73800
0,0.051372203,254700,25470,TRUE,25470
0,0.083592952,755190,75519,TRUE,75519
0,0.06198205,1006920,100692,TRUE,100692
0,0.052401438,337500,33750,TRUE,33750
0,0.033932024,135000,13500,TRUE,13500
0,0.037727612,239850,23985,TRUE,23985
0,0.177461216,1288350,128835,FALSE,0
0,0.078203491,270000,27000,TRUE,27000
0,0.02695061,1422337.5,142233.75,TRUE,142233.75
0,0.029216732,247500,24750,TRUE,24750
0,0.2195581,373311,37331.1,FALSE,0
0,0.046365542,780363,78036.3,TRUE,78036.3
0,0.102183926,495000,49500,TRUE,49500
0,0.088252517,1408806,140880.6,TRUE,140880.6
0,0.04548935,247500,24750,TRUE,24750
0,0.03548425,1321902,132190.2,TRUE,132190.2
0,0.034611538,1575000,157500,TRUE,157500
0,0.020507819,270000,27000,TRUE,27000
0,0.085750569,755190,75519,TRUE,75519
0,0.030466214,647046,64704.6,TRUE,64704.6
0,0.033783009,1293502.5,129350.25,TRUE,129350.25
0,0.064964586,350860.5,35086.05,TRUE,35086.05
1,0.12970159,182016,-182016,TRUE,-182016
0,0.077192176,540000,54000,TRUE,54000
0,0.221429328,675000,67500,FALSE,0
0,0.087597274,450000,45000,TRUE,45000
0,0.067292616,1303812,130381.2,TRUE,130381.2
0,0.088638356,157500,15750,TRUE,15750
0,0.085577703,835380,83538,TRUE,83538
1,0.112809847,284400,-284400,TRUE,-284400
0,0.024083303,1288350,128835,TRUE,128835
0,0.028292009,1506816,150681.6,TRUE,150681.6
0,0.092828525,1024290,102429,TRUE,102429
0,0.036961333,521280,52128,TRUE,52128
0,0.210465343,1339884,133988.4,FALSE,0
0,0.025080969,590337,59033.7,TRUE,59033.7
0,0.102219121,180000,18000,TRUE,18000
0,0.021007396,254700,25470,TRUE,25470
0,0.095886294,700830,70083,TRUE,70083
0,0.023879987,651600,65160,TRUE,65160
0,0.022637988,629325,62932.5,TRUE,62932.5
0,0.026482702,886401,88640.1,TRUE,88640.1
0,0.11102121,180000,18000,TRUE,18000
0,0.035918618,540000,54000,TRUE,54000
0,0.044749289,302341.5,30234.15,TRUE,30234.15
0,0.112067613,910890,91089,TRUE,91089
0,0.13241705,163512,16351.2,TRUE,16351.2
0,0.065924466,450000,45000,TRUE,45000
